Sentence,Annotation,Implicit/Explicit,Intent,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
" ""I know people who for years now have been trying to get them to help get the right types of equipment and software into places like Iran in order to take advantage of peoples desire for freedom",Change/ Reform/Revolution, Explicit, Positive, Equipment,None,None,None,None
"""
",Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
"Last update: 4 February 2011The Internet and communications infrastructure is a key platform to conduct business, connect people and provide government services",None, Implicit, Positive, Internet,None,None,None,None
 The Egyptian government has taken great steps in the past years to develop and promote the use and uptake of technologies,None, Implicit, Positive, Technologies,None,None,None,None
 But the current shutdown of Internet and communications services for five days will have a pronounced economic impact,Violence/Conflict/Protest, Explicit, Negative, Economic Impact,None,None,None,None
 It is estimated to have incurred direct costs of at minimum USD 90 million,None, Explicit, Positive, Shut Down,None,None,None,None
"Last update: 4 February 2011The Internet and communications infrastructure is a key platform to conduct business, connect people and provide government services",None, Implicit, Positive,None,None,None,None,None
 The Egyptian government has taken great steps in the past years to develop and promote the use and uptake of technologies,None, Explicit, Positive,None,None,None,None,None
 But the current shutdown of Internet and communications services for five days will have a pronounced economic impact,Violence/Conflict/Protest, Explicit, Negative,None,None,None,None,None
 It is estimated to have incurred direct costs of at minimum USD 90 million,None, Explicit, Positive,None,None,None,None,None
"This amount refers to lost revenues due to blocked telecommunications and Internet services, which account for around USD 18 million per day, or, on a yearly scale, for roughly 3-4% of GDP",Economy/Money/Finance/Trade/GDP, Explicit, Negative,None,None,None,None,None
"
Wider economic impacts
However, this amount does not include the secondary economic impacts which resulted from a loss of business in other sectors affected by the shutdown of communication servicese",Economy/Money/Finance/Trade/GDP, Implicit, Negative,None,None,None,None,None
g,None, The line does not match any code.,None,None,None,None,None,None
"e-commerce, tourism and call centres",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
" In fact, the IT services and outsourcing sector in Egypt has been a growing part of the economy and relies heavily on the Internet and communications networks",None, Explicit, Positive,None,None,None,None,None
" IT outsourcing firms in Egypt made USD 1 billion in revenues in 2010 (or around USD 3 million per working day), servicing overseas customers through call centres, helpdesks, etc",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
"
The longer term impact of the Internet and communications shutdown on Egypts economy is hard to assess",Economy/Money/Finance/Trade/GDP, Explicit, Negative,None,None,None,None,None
 The shutdown may impact negatively on foreign direct investment in the ICT sector and industries that rely on stable communications and the Internet,Violence/Conflict/Protest, Explicit, Negative,None,None,None,None,None
 The loss of connectivity for five days to these vital business services could make them reconsider overall outsourcing plans,Economy/Money/Finance/Trade/GDP, Explicit, Negative,None,None,None,None,None
Attracting such firms has been a key strategy of the Egyptian government (see Chapter 7 of theOECD Information Technology Ooutlook 2010),Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
"
Egypt has other sectors that depend on Internet and communications, notably a vibrant tourism sector",None,None,None,None,None,None,None,None
" It is difficult to put a number to the loss of tourism due to the Internet shutdown alone, but it provides an idea of how much the Internet has become part of mainstream economic activities, even in Egypt",Economy/Money/Finance/Trade/GDP, Explicit, Negative,None,None,None,None,None
" In regards to long-term effects, it may be extremely difficult to unravelthe impact of the general political and social conditions from the shutdown of the Internet and mobile networks",None, Explicit, Positive,None,None,None,None,None
"
At the time of writing, the OECD is engaged in a country review of ICT policies that had put Egypt on a path of developing towards an information economy",None, Explicit, Positive,None,None,None,None,None
" Egypt is a signatory country to theOECDs 2008 Seoul Declaration for the Future of the Internet, which calls for an open, decentralised and dynamic Internet ( click here to open the Declaration )",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
"
Contact:
and Arthur Mickoleit
Telecommunication data for Egypt
Population: 83 million (2009)Mobile phones:55352 233 subscriptions (2009)66",None,None,None,None,None,None,None,None
7 subscribers per 100 inhabitantsInternetFixed (wired) broadband Internet subscriptions:1 101 635 subscriptions (2009)1,None, Explicit, Positive,None,None,None,None,None
3 subscriptions per 100 inhabitantsInternet dial-up subscriptions:1 222 815 subscriptions (2009)1,Violence/Conflict/Protest, Explicit, Negative,None,None,None,None,None
5 subscribers per 100 inhabitantsWireless broadband:6 934 161 subscriptions (2009)8,Change/ Reform/Revolution, Explicit, Positive,None,None,None,None,None
"4 subscribers per 100 inhabitantsFurther information
OECD Information Technology Outlook 2010
(pdf)
Related Documents
",Unity/Cooperation/Alliance, Explicit, Positive,None,None,None,None,None
